business_id,business_name,candidate_name,url,platform,candidate_type,has_inquiry_url,match_reason,lead_score,verdict,dm_text,data_source,serpapi_used,cost_usd,reviewed_at,send_date,sender,send_status,reply_status,next_action,memo
ryukyu_hotpot,琉球火鍋,Okinawa Marriott Resort & Spa | Concierge,https://okinawa-marriott.co.jp/concierge,google_serp,luxury_hotel,True,高級ホテルのコンシェルジュは記念日ディナーへの紹介確度高い,9,SEND_READY,突然のご連絡失礼いたします。那覇の琉球火鍋です。誕生日・記念日ディナーをお探しのご宿泊者様へご紹介いただける機会があればとご連絡しました。黒毛和牛・アグー豚の高単価火鍋で特別な夜を演出します。,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
ryukyu_hotpot,琉球火鍋,@okinawa_luxury_stays | Instagram,https://www.instagram.com/okinawa_luxury_stays/,instagram_serp,inbound_media,False,インバウンドIG8.5k。英語対応済みのため紹介効果大,8,SEND_READY,"Hello! We're Ryukyu Hotpot in Naha, Okinawa – premium wagyu hotpot for special occasions. We'd love to be featured on your account for anniversary and birthday dinner recommendations! Feel free to DM us 🍲",fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
ryukyu_hotpot,琉球火鍋,琉球トラベル株式会社 | 沖縄専門旅行代理店,https://ryukyu-travel.co.jp,google_serp,travel_agency,True,旅行代理店は担当者アプローチが必要。提携打診文に修正,7,REVISE,突然のご連絡失礼いたします。那覇の琉球火鍋です。誕生日・記念日・接待ディナーのお客様へご紹介いただける旅行代理店様を探しております。ご担当者様へお繋ぎいただければ幸いです。,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
ryukyu_hotpot,琉球火鍋,@naha_anniversary_collection | Instagram,https://www.instagram.com/naha_anniversary_collection/,instagram_serp,anniversary_media,False,記念日アカウント4.2k。DM文を日本語に修正して送れる,6,REVISE,はじめまして！那覇の琉球火鍋です。誕生日・記念日のディナースポットとしてご紹介いただける機会があれば嬉しいです🎂 沖縄のアグー豚・黒毛和牛のプレミアム火鍋です。よろしければDMください！,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
ryukyu_hotpot,琉球火鍋,沖縄インバウンドコンソーシアム | 訪日旅行促進,https://okinawa-inbound.org,google_serp,inbound_org,True,団体加盟は稟議・手続きが必要。すぐには動けない,5,HOLD,突然のご連絡失礼いたします。那覇の琉球火鍋です。インバウンドのお客様向けに沖縄体験ディナーを提供しております。貴機構の加盟・PR事業にお力添えできればと思いご連絡しました。,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
ai_net_business,AIネットビジネス,沖縄カフェ店主のブログ | SNS更新が続かない,https://okinawa-cafe-blog.jp/sns-problem,google_serp,store_owner_struggling_sns,False,SNS更新困ってる投稿あり。ニーズが明確で最優先,9,SEND_READY,はじめまして！店舗向けAI集客のサポートをしています。SNS更新が続かないお悩み、ChatGPTとテンプレートを使ってかなり楽になる方法があります。よろしければ詳細をお送りしましょうか？,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
ai_net_business,AIネットビジネス,@naha_esthe_owner | Instagram,https://www.instagram.com/naha_esthe_owner/,instagram_serp,beauty_owner_sns_struggle,False,サロン経営者がSNS悩みを公開投稿。直接アプローチOK,9,SEND_READY,はじめまして！サロン向けAI集客サポートをしています。投稿が続かないお悩み、AI＋テンプレートで週1作業にできる仕組みがあります。よろしければ詳細をお伝えできますか？😊,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
ai_net_business,AIネットビジネス,整体院まつもと | Googleビジネスプロフィール放置中,https://maps.google.com/?cid=123456789,google_serp,store_gbp_inactive,False,GBP放置は明確な課題。ただし電話 or DM手段を変更,7,REVISE,はじめまして！Googleビジネスプロフィールの自動投稿サポートをしています。投稿を月2本程度自動化できる仕組みがあります。もしよければ詳細をお送りします。,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
ai_net_business,AIネットビジネス,沖縄居酒屋オーナーのTwitter | 集客の悩み,https://twitter.com/okinawa_izakaya_owner,threads_serp,restaurant_owner_ai_interest,False,AI活用に興味あり発言。ニーズ一致でタイミングが良い,8,SEND_READY,はじめまして！店舗向けAI集客のサポートをしています。AI活用・SNS自動化に興味があるとのこと。実際に居酒屋さんで使っている方法をよろしければご紹介できますか？,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
ai_net_business,AIネットビジネス,美容師Aのnote | AI投稿自動化を試してみた,https://note.com/okinawa_beauty_a/ai-posting,google_serp,beauty_ai_early_adopter,False,既にAI活用中。競合分析・上位商品の紹介変更が必要,6,HOLD,はじめまして！AI投稿の記事拝見しました😊 もう一歩踏み込んでGoogleビジネスプロフィールまで自動化すると集客導線が完成しますよ。よろしければ詳細をお伝えできますか？,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
